id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
1730,"11 Esdaile Place, Arncliffe",4.0,3,2.0,2280000.0,-33.9389271,151.1407092,2205.0,291.0,7835.051546391753,Sydney,96.2250799905141,2053750.0,5063.814237325175
1731,"2 Napoleon Street, Rosebery",2.0,1,2.0,2177000.0,-33.923723,151.200169,2018.0,324.0,6719.135802469136,Sydney,30.99911090000704,2957250.0,8102.703554571371
1732,"3A Mavis Avenue, Peakhurst",5.0,4,2.0,2170000.0,-33.9615941,151.0688877,2210.0,349.7,6205.318844724049,Sydney,283.2635898610216,1798245.0,3182.6635975533145
1733,"32 Sutherland Street, St Peters",3.0,2,2.0,2115000.0,-33.9153191,151.1712916,2044.0,208.7,10134.16387158601,Sydney,36.08665135371586,1974357.142857143,6571.078795637533
1734,"90 Westbourne Street, Petersham",3.0,2,1.0,2060000.0,-33.891053,151.159548,2049.0,228.1,9031.12669881631,Sydney,29.704575130011808,2515083.3333333335,9365.390552762627
1735,"1/115 Constitution Road, West Ryde",3.0,2,1.0,1916000.0,-33.814194,151.0824022,2114.0,378.0,5068.783068783069,Sydney,190.84866880845843,2490800.0,3613.608361553929
1736,"120 Woolcott Street, Earlwood",3.0,1,2.0,1815000.0,-33.9220649,151.1186206,2206.0,356.7,5088.309503784693,Sydney,110.59903156370052,2404903.2258064514,5087.790008761805
1737,"224 Gloucester Road, Hurstville",4.0,1,2.0,1710000.0,-33.9545172,151.0896292,2220.0,398.0,4296.482412060302,Sydney,216.68538748485074,2386655.172413793,4745.410497552015
1738,"12 Joan Street, Hurstville",4.0,3,2.0,1650000.0,-33.9550161,151.0949405,2220.0,315.0,5238.0952380952385,Sydney,205.11311139461662,2386655.172413793,4745.410497552015
1739,"1 Roxburgh Crescent, Stanhope Gardens",4.0,2,2.0,1625000.0,-33.7142363,150.9338706,2768.0,331.3,4904.920012073649,Sydney,997.512917420531,1532918.8684210526,3673.6244476669426
